Año,Trimestre,Banda ancha fija,Dial up,Total,Periodo,años
2022,Jul-Sept,11078691.0,12.437,11091128.0,jul-sep 2022,2022
2022,Abr-Jun,10946248.0,12.436,10958684.0,abr-jun 2022,2022
2022,Ene-Mar,10611390.0,12.619,10624009.0,ene-mar 2022,2022
2021,Oct-Dic,10476933.0,12.861,10489794.0,oct-dic 2021,2021
2021,Jul-Sept,10075184.0,10.357,10085541.0,jul-sep 2021,2021
2021,Abr-Jun,9852702.0,10.382,9863084.0,abr-jun 2021,2021
2021,Ene-Mar,9637956.0,10.016,9647972.0,ene-mar 2021,2021
2020,Oct-Dic,9561546.0,10.016,9571562.0,oct-dic 2020,2020
2020,Jul-Sept,9346183.0,10.016,9356199.0,jul-sep 2020,2020
2020,Abr-Jun,9021040.0,10.016,9031056.0,abr-jun 2020,2020
2020,Ene-Mar,8802435.0,9.991,8812426.0,ene-mar 2020,2020
2019,Oct-Dic,8783053.0,10.128,8793181.0,oct-dic 2019,2019
2019,Jul-Sept,9142891.0,21.793,9164684.0,jul-sep 2019,2019
2019,Abr-Jun,8938427.0,21.754,8960181.0,abr-jun 2019,2019
2019,Ene-Mar,8626323.0,21.812,8648135.0,ene-mar 2019,2019
2018,Oct-Dic,8451841.0,21.814,8473655.0,oct-dic 2018,2018
2018,Jul-Sept,8320223.0,26.812,8347035.0,jul-sep 2018,2018
2018,Abr-Jun,8083533.0,26.911,8110444.0,abr-jun 2018,2018
2018,Ene-Mar,8009981.0,27.072,8037053.0,ene-mar 2018,2018
2017,Oct-Dic,7842778.0,27.444,7870222.0,oct-dic 2017,2017
2017,Jul-Sept,7696594.0,28.349,7724943.0,jul-sep 2017,2017
2017,Abr-Jun,7401134.0,28.53,7429664.0,abr-jun 2017,2017
2017,Ene-Mar,7277314.0,28.54,7305854.0,ene-mar 2017,2017
2016,Oct-Dic,7223128.0,28.545,7251673.0,oct-dic 2016,2016
2016,Jul-Sept,7178340.0,28.61,7206950.0,jul-sep 2016,2016
2016,Abr-Jun,7097604.0,32.475,7130079.0,abr-jun 2016,2016
2016,Ene-Mar,6874704.0,32.652,6907356.0,ene-mar 2016,2016
2015,Oct-Dic,6952289.0,32.542,6984831.0,oct-dic 2015,2015
2015,Jul-Sept,6902267.0,32.801,6935068.0,jul-sep 2015,2015
2015,Abr-Jun,6783279.0,32.909,6816188.0,abr-jun 2015,2015
2015,Ene-Mar,6699714.0,38.018,6737732.0,ene-mar 2015,2015
2014,Oct-Dic,6559172.0,39.324,6598496.0,oct-dic 2014,2014
2014,Jul-Sept,6559264.0,36.007,6595271.0,jul-sep 2014,2014
2014,Abr-Jun,6428329.0,36.139,6464468.0,abr-jun 2014,2014
2014,Ene-Mar,6362108.0,36.29,6398398.0,ene-mar 2014,2014
